"C_ID","C_EquipmentSpend","C_ApparelSpend","C_FootwearSpend","C_Gender","C_Age","C_State","C_Area","C_DeviceType","C_ShoppingCart","C_EmailAd","C_ShoppingDuration","C_TimeOfShopping","C_Number_of_Orders","C_Reviews","C_OrderToDelivery","C_Payment","App_Discounts","App_Tenure","App_Referral"
"CXAUQ_1038",198,170,455,"F",62,"NSW","Rural","Tablet_iOS","Browser","Daily",19,"12:00 AM - 6:00 AM",3,2,3,"BNPL","N",0,0
"CXAUQ_402",1150,283,0,"M",45,"VIC","Urban","Tablet_Android","Browser","Weekly",59,"12:00 PM - 6:00 PM",9,5,4,"BNPL","N",0,0
"CXAUQ_463",300,121,0,"F",33,"VIC","Rural","Tablet_iOS","Browser","Weekly",13,"12:00 PM - 6:00 PM",2,2,4,"Card","N",0,0
"CXAUQ_853",40,165,165,"F",43,"SA","Urban","Phone_iOS","Browser","Weekly",53,"12:00 AM - 6:00 AM",2,1,3,"eWallet","N",0,0
"CXAUQ_972",40,226,113,"F",28,"NSW","Urban","Phone_iOS","Browser","Daily",1,"12:00 AM - 6:00 AM",4,1,3,"eWallet","N",0,0
"CXAUQ_2549",40,76,109,"M",31,"NSW","Urban","Phone_iOS","App","Daily",15,"6:00 PM - 12:00 AM",1,1,3,"eWallet","Y",25,0
"CXAUQ_1081",500,94,195,"M",27,"VIC","Urban","Tablet_iOS","Browser","Weekly",29,"12:00 AM - 6:00 AM",5,1,4,"eWallet","N",0,0
"CXAUQ_1267",450,142,383,"F",40,"ACT","Rural","Phone_Android","Browser","Weekly",50,"12:00 AM - 6:00 AM",7,4,4,"BNPL","N",0,0
"CXAUQ_2286",600,208,290,"M",35,"VIC","Urban","Phone_Android","Browser","Monthly",23,"6:00 AM - 12:00 PM",6,5,4,"BNPL","N",0,0
"CXAUQ_1901",450,75,231,"F",52,"VIC","Urban","Phone_iOS","Browser","Daily",4,"6:00 AM - 12:00 PM",7,3,4,"BNPL","N",0,0
"CXAUQ_2583",1650,222,40,"F",57,"NSW","Urban","Tablet_Android","Browser","Daily",42,"6:00 PM - 12:00 AM",14,5,4,"BNPL","N",0,0
"CXAUQ_2136",40,168,298,"M",39,"NSW","Rural","Tablet_iOS","Browser","Monthly",47,"6:00 AM - 12:00 PM",6,1,3,"BNPL","N",0,0
"CXAUQ_401",1600,227,0,"F",54,"QLD","Urban","Tablet_Android","Browser","Weekly",25,"12:00 PM - 6:00 PM",13,5,4,"BNPL","N",0,0
"CXAUQ_19",350,88,262,"F",44,"VIC","Rural","Phone_iOS","App","Daily",43,"12:00 PM - 6:00 PM",3,3,3,"BNPL","Y",25,0
"CXAUQ_1205",40,161,195,"F",31,"ACT","Urban","Phone_Android","Browser","Monthly",44,"12:00 AM - 6:00 AM",6,1,3,"eWallet","N",0,0
"CXAUQ_1364",40,69,77,"F",36,"NSW","Urban","Phone_iOS","App","Daily",4,"6:00 PM - 12:00 AM",2,2,3,"eWallet","Y",19,0
"CXAUQ_1584",1100,180,40,"F",53,"NSW","Urban","Tablet_Android","App","Monthly",48,"6:00 PM - 12:00 AM",4,4,4,"eWallet","Y",13,0
"CXAUQ_620",40,62,40,"M",34,"NSW","Urban","Tablet_Android","Browser","Daily",22,"12:00 PM - 6:00 PM",1,0,3,"eWallet","N",0,0
"CXAUQ_2149",1450,50,126,"F",46,"NSW","Urban","Tablet_Android","App","Daily",34,"6:00 AM - 12:00 PM",14,5,4,"eWallet","Y",10,0
"CXAUQ_2735",600,86,442,"F",33,"NSW","Urban","Tablet_Android","App","Daily",25,"6:00 PM - 12:00 AM",6,3,4,"BNPL","Y",4,0
"CXAUQ_2234",900,131,259,"F",56,"NT","Urban","Phone_iOS","App","Weekly",56,"6:00 AM - 12:00 PM",11,4,4,"BNPL","Y",5,0
"CXAUQ_2257",1050,218,317,"F",47,"QLD","Urban","Tablet_iOS","Browser","Weekly",34,"6:00 AM - 12:00 PM",5,4,4,"BNPL","N",0,0
"CXAUQ_1106",40,50,458,"F",39,"VIC","Urban","Tablet_Android","Browser","Monthly",27,"12:00 AM - 6:00 AM",1,4,2,"BNPL","N",0,0
"CXAUQ_646",700,50,372,"M",30,"NSW","Urban","Phone_iOS","Browser","Daily",57,"12:00 PM - 6:00 PM",4,1,4,"Card","N",0,0
"CXAUQ_1479",40,50,465,"F",31,"NSW","Urban","Tablet_iOS","Browser","Daily",59,"6:00 PM - 12:00 AM",6,3,2,"BNPL","N",0,0
"CXAUQ_1185",700,205,368,"M",39,"VIC","Urban","Tablet_iOS","App","Monthly",2,"12:00 AM - 6:00 AM",5,3,4,"BNPL","Y",29,0
"CXAUQ_828",850,186,259,"F",58,"WA","Rural","Phone_iOS","Browser","Weekly",24,"12:00 AM - 6:00 AM",3,3,4,"BNPL","N",0,0
"CXAUQ_2385",1500,159,447,"M",53,"NSW","Rural","Tablet_Android","Browser","Daily",26,"6:00 AM - 12:00 PM",1,3,4,"BNPL","N",0,0
"CXAUQ_2825",850,133,287,"F",59,"NT","Urban","Tablet_iOS","Browser","Monthly",0,"6:00 PM - 12:00 AM",4,4,4,"BNPL","N",0,0
"CXAUQ_618",40,68,334,"M",33,"NSW","Urban","Tablet_Android","Browser","Daily",31,"12:00 PM - 6:00 PM",5,1,3,"eWallet","N",0,0
"CXAUQ_2283",1300,296,175,"M",53,"NSW","Urban","Tablet_Android","App","Daily",0,"6:00 AM - 12:00 PM",13,1,4,"eWallet","Y",4,0
"CXAUQ_204",900,50,409,"M",45,"QLD","Rural","Phone_iOS","Browser","Weekly",57,"12:00 PM - 6:00 PM",3,3,4,"BNPL","N",0,0
"CXAUQ_331",40,219,0,"M",33,"NSW","Rural","Tablet_iOS","Browser","Daily",25,"12:00 PM - 6:00 PM",3,1,4,"eWallet","N",0,0
"CXAUQ_841",40,112,56,"F",21,"TAS","Rural","Phone_iOS","App","Weekly",34,"12:00 AM - 6:00 AM",1,1,2,"BNPL","Y",17,3
"CXAUQ_1673",1100,143,331,"M",44,"VIC","Rural","Tablet_Android","Browser","Monthly",13,"6:00 PM - 12:00 AM",13,4,4,"BNPL","N",0,0
"CXAUQ_330",40,151,0,"F",30,"NSW","Urban","Phone_iOS","Browser","Weekly",54,"12:00 PM - 6:00 PM",3,2,3,"eWallet","N",0,0
"CXAUQ_897",40,85,43,"F",40,"NSW","Urban","Tablet_iOS","Browser","Daily",32,"12:00 AM - 6:00 AM",1,2,3,"eWallet","N",0,0
"CXAUQ_756",40,118,334,"F",37,"QLD","Urban","Phone_Android","App","Weekly",55,"12:00 PM - 6:00 PM",1,4,3,"eWallet","Y",16,0
"CXAUQ_227",1700,50,265,"F",52,"NSW","Rural","Phone_Android","Browser","Daily",15,"12:00 PM - 6:00 PM",1,5,4,"BNPL","N",0,0
"CXAUQ_382",700,175,0,"M",44,"VIC","Urban","Tablet_iOS","App","Monthly",44,"12:00 PM - 6:00 PM",2,3,4,"BNPL","Y",12,0
"CXAUQ_1355",1600,50,348,"F",59,"VIC","Urban","Tablet_Android","Browser","Monthly",29,"6:00 PM - 12:00 AM",9,5,4,"BNPL","N",0,0
"CXAUQ_2422",40,271,50,"M",25,"NSW","Urban","Phone_iOS","Browser","Daily",30,"6:00 AM - 12:00 PM",1,2,3,"eWallet","N",0,0
"CXAUQ_2711",600,264,40,"M",48,"NSW","Rural","Phone_Android","Browser","Daily",39,"6:00 PM - 12:00 AM",9,5,4,"BNPL","N",0,0
"CXAUQ_738",1000,76,0,"F",44,"NSW","Rural","Tablet_Android","App","Daily",60,"12:00 PM - 6:00 PM",7,3,4,"Card","Y",17,0
"CXAUQ_183",40,92,447,"F",40,"SA","Urban","Phone_iOS","Browser","Daily",36,"12:00 PM - 6:00 PM",1,1,1,"BNPL","N",0,0
"CXAUQ_2167",40,198,481,"M",22,"NSW","Rural","Phone_iOS","Browser","Daily",6,"6:00 AM - 12:00 PM",3,1,2,"BNPL","N",0,0
"CXAUQ_1",550,295,423,"M",26,"WA","Urban","Phone_iOS","App","Monthly",40,"12:00 PM - 6:00 PM",6,3,4,"BNPL","Y",29,0
"CXAUQ_1608",40,60,50,"M",51,"NSW","Urban","Tablet_iOS","App","Daily",20,"6:00 PM - 12:00 AM",1,3,3,"eWallet","Y",14,0
"CXAUQ_644",650,50,325,"F",33,"TAS","Urban","Phone_iOS","App","Weekly",27,"12:00 PM - 6:00 PM",4,4,4,"BNPL","Y",9,0
"CXAUQ_2444",850,188,261,"F",49,"NSW","Rural","Tablet_iOS","App","Daily",58,"6:00 AM - 12:00 PM",12,4,4,"BNPL","Y",6,7
"CXAUQ_1904",40,115,473,"F",54,"VIC","Urban","Tablet_iOS","App","Daily",56,"6:00 AM - 12:00 PM",2,4,2,"BNPL","Y",27,0
"CXAUQ_2168",40,293,362,"M",28,"NSW","Urban","Phone_iOS","App","Daily",19,"6:00 AM - 12:00 PM",6,3,1,"BNPL","Y",14,0
"CXAUQ_485",40,76,0,"F",39,"QLD","Urban","Tablet_iOS","App","Daily",13,"12:00 PM - 6:00 PM",1,2,3,"eWallet","Y",20,0
"CXAUQ_2772",800,156,353,"M",48,"SA","Urban","Tablet_Android","Browser","Weekly",41,"6:00 PM - 12:00 AM",6,4,4,"BNPL","N",0,0
"CXAUQ_2072",1300,238,40,"F",51,"NSW","Urban","Tablet_Android","Browser","Daily",6,"6:00 AM - 12:00 PM",11,5,4,"eWallet","N",0,0
"CXAUQ_1962",40,294,389,"M",51,"WA","Urban","Tablet_iOS","Browser","Weekly",13,"6:00 AM - 12:00 PM",4,4,2,"BNPL","N",0,0
"CXAUQ_1241",40,293,261,"F",24,"NSW","Rural","Phone_Android","App","Weekly",57,"12:00 AM - 6:00 AM",5,2,3,"BNPL","Y",9,0
"CXAUQ_1665",40,50,61,"M",31,"QLD","Urban","Tablet_Android","Browser","Monthly",0,"6:00 PM - 12:00 AM",1,3,3,"eWallet","N",0,0
"CXAUQ_504",40,50,0,"F",55,"TAS","Urban","Phone_iOS","Browser","Weekly",26,"12:00 PM - 6:00 PM",1,3,3,"eWallet","N",0,0
