"C_ID","C_EquipmentSpend","C_ApparelSpend","C_FootwearSpend","C_Gender","C_Age","C_State","C_Area","C_DeviceType","C_ShoppingCart","C_EmailAd","C_ShoppingDuration","C_TimeOfShopping","C_Number_of_Orders","C_Reviews","C_OrderToDelivery","C_Payment","App_Discounts","App_Tenure","App_Referral"
"CXAUQ_982",40,78,40,"M",38,"NT","Rural","Tablet_iOS","App","Weekly",57,"12:00 AM - 6:00 AM",1,1,2,"BNPL","Y",18,0
"CXAUQ_623",40,50,40,"F",25,"TAS","Urban","Tablet_Android","Browser","Daily",24,"12:00 PM - 6:00 PM",1,1,3,"eWallet","N",0,0
"CXAUQ_391",900,113,0,"F",53,"TAS","Urban","Phone_Android","App","Monthly",50,"12:00 PM - 6:00 PM",10,4,4,"BNPL","Y",18,0
"CXAUQ_1154",40,50,204,"F",22,"NSW","Rural","Phone_iOS","Browser","Daily",32,"12:00 AM - 6:00 AM",1,1,2,"BNPL","N",0,0
"CXAUQ_1497",40,276,439,"M",22,"WA","Urban","Tablet_iOS","Browser","Weekly",6,"6:00 PM - 12:00 AM",4,1,1,"BNPL","N",0,0
"CXAUQ_952",40,153,153,"M",34,"NT","Urban","Phone_iOS","Browser","Weekly",39,"12:00 AM - 6:00 AM",4,1,1,"BNPL","N",0,0
"CXAUQ_2385",1500,159,447,"M",53,"NSW","Rural","Tablet_Android","Browser","Daily",26,"6:00 AM - 12:00 PM",1,3,4,"BNPL","N",0,0
"CXAUQ_2839",40,270,156,"M",25,"NSW","Urban","Phone_Android","Browser","Daily",51,"6:00 PM - 12:00 AM",4,1,3,"eWallet","N",0,0
"CXAUQ_1052",271,94,0,"M",64,"QLD","Rural","Tablet_iOS","Browser","Daily",49,"12:00 PM - 6:00 PM",3,2,4,"Card","N",0,0
"CXAUQ_2224",40,50,387,"F",38,"NSW","Rural","Phone_iOS","App","Daily",45,"6:00 AM - 12:00 PM",3,0,3,"BNPL","Y",21,6
"CXAUQ_63",40,187,94,"M",25,"VIC","Urban","Phone_iOS","App","Daily",25,"12:00 PM - 6:00 PM",6,2,3,"eWallet","Y",16,0
"CXAUQ_760",40,240,120,"M",24,"VIC","Urban","Phone_Android","App","Weekly",9,"12:00 PM - 6:00 PM",5,1,2,"BNPL","Y",2,0
"CXAUQ_2633",40,128,134,"M",23,"NT","Urban","Phone_iOS","Browser","Weekly",35,"6:00 PM - 12:00 AM",3,3,3,"eWallet","N",0,0
"CXAUQ_2750",40,50,295,"F",21,"NSW","Urban","Phone_iOS","App","Daily",33,"6:00 PM - 12:00 AM",1,1,3,"eWallet","Y",30,0
"CXAUQ_161",1750,142,351,"M",50,"ACT","Rural","Phone_Android","Browser","Weekly",54,"12:00 PM - 6:00 PM",3,5,4,"BNPL","N",0,0
"CXAUQ_912",650,111,381,"M",43,"NSW","Urban","Tablet_iOS","App","Daily",35,"12:00 AM - 6:00 AM",5,3,4,"eWallet","Y",2,0
"CXAUQ_2119",40,170,206,"M",20,"WA","Urban","Tablet_iOS","App","Daily",37,"6:00 AM - 12:00 PM",3,3,1,"BNPL","Y",2,0
"CXAUQ_1909",300,133,40,"F",41,"ACT","Urban","Phone_iOS","App","Weekly",8,"6:00 AM - 12:00 PM",1,2,3,"eWallet","Y",27,0
"CXAUQ_864",40,189,189,"M",41,"VIC","Urban","Phone_iOS","Browser","Daily",7,"12:00 AM - 6:00 AM",5,3,3,"eWallet","N",0,0
"CXAUQ_1650",1000,102,134,"M",49,"NSW","Urban","Tablet_Android","App","Weekly",58,"6:00 PM - 12:00 AM",14,4,4,"eWallet","Y",2,0
"CXAUQ_1640",40,198,268,"M",36,"QLD","Rural","Tablet_Android","App","Monthly",12,"6:00 PM - 12:00 AM",1,4,2,"BNPL","Y",4,0
