"C_ID","C_EquipmentSpend","C_ApparelSpend","C_FootwearSpend","C_Gender","C_Age","C_State","C_Area","C_DeviceType","C_ShoppingCart","C_EmailAd","C_ShoppingDuration","C_TimeOfShopping","C_Number_of_Orders","C_Reviews","C_OrderToDelivery","C_Payment","App_Discounts","App_Tenure","App_Referral"
"CXAUQ_583",550,73,312,"M",36,"TAS","Urban","Phone_iOS","App","Weekly",37,"12:00 PM - 6:00 PM",2,3,4,"BNPL","Y",2,0
"CXAUQ_755",1550,120,0,"F",56,"SA","Urban","Tablet_Android","Browser","Monthly",23,"12:00 PM - 6:00 PM",13,4,4,"BNPL","N",0,0
"CXAUQ_2417",1150,297,134,"F",57,"NSW","Urban","Tablet_Android","App","Monthly",10,"6:00 AM - 12:00 PM",14,3,4,"eWallet","Y",14,0
"CXAUQ_2844",800,186,0,"M",51,"NSW","Rural","Tablet_Android","App","Daily",15,"6:00 PM - 12:00 AM",11,3,4,"BNPL","Y",9,0
"CXAUQ_256",1200,222,80,"M",53,"NT","Urban","Tablet_Android","App","Weekly",22,"12:00 PM - 6:00 PM",7,5,4,"BNPL","Y",22,0
"CXAUQ_1662",800,195,248,"M",60,"SA","Urban","Phone_Android","Browser","Monthly",31,"6:00 PM - 12:00 AM",12,4,4,"BNPL","N",0,0
"CXAUQ_1511",40,50,143,"F",20,"NSW","Urban","Phone_iOS","Browser","Daily",23,"6:00 PM - 12:00 AM",1,1,3,"eWallet","N",0,0
"CXAUQ_767",40,255,128,"M",23,"NSW","Rural","Phone_Android","Browser","Daily",26,"12:00 PM - 6:00 PM",5,3,4,"eWallet","N",0,0
"CXAUQ_1672",850,131,345,"F",52,"QLD","Urban","Tablet_Android","Browser","Monthly",37,"6:00 PM - 12:00 AM",8,4,4,"BNPL","N",0,0
"CXAUQ_2573",1200,190,338,"F",59,"NSW","Rural","Phone_Android","Browser","Daily",30,"6:00 PM - 12:00 AM",2,5,4,"BNPL","N",0,0
"CXAUQ_2174",40,179,322,"F",24,"NT","Urban","Phone_iOS","App","Daily",13,"6:00 AM - 12:00 PM",5,1,2,"BNPL","Y",11,0
"CXAUQ_1072",40,230,335,"F",20,"NSW","Rural","Tablet_iOS","Browser","Daily",23,"12:00 AM - 6:00 AM",2,2,2,"BNPL","N",0,0
"CXAUQ_64",40,144,72,"F",23,"VIC","Urban","Phone_iOS","Browser","Daily",28,"12:00 PM - 6:00 PM",5,3,3,"eWallet","N",0,0
"CXAUQ_131",850,92,319,"M",41,"NSW","Urban","Phone_iOS","App","Daily",31,"12:00 PM - 6:00 PM",1,1,4,"BNPL","Y",22,8
"CXAUQ_2692",40,111,381,"F",31,"NSW","Urban","Tablet_Android","App","Daily",20,"6:00 PM - 12:00 AM",6,1,3,"eWallet","Y",7,0
"CXAUQ_2263",40,212,147,"F",25,"QLD","Urban","Phone_Android","Browser","Weekly",5,"6:00 AM - 12:00 PM",6,2,3,"eWallet","N",0,0
"CXAUQ_2502",40,293,402,"F",27,"NSW","Urban","Phone_iOS","App","Daily",4,"6:00 PM - 12:00 AM",5,2,3,"eWallet","Y",10,0
"CXAUQ_2677",40,50,278,"F",40,"WA","Urban","Tablet_iOS","App","Daily",26,"6:00 PM - 12:00 AM",1,3,3,"eWallet","Y",15,8
"CXAUQ_2227",40,50,479,"F",22,"NSW","Urban","Tablet_iOS","App","Daily",58,"6:00 AM - 12:00 PM",4,3,1,"BNPL","Y",2,0
"CXAUQ_239",40,229,40,"F",31,"SA","Urban","Phone_iOS","App","Weekly",2,"12:00 PM - 6:00 PM",5,3,3,"eWallet","Y",14,0
"CXAUQ_291",450,296,0,"F",26,"NT","Urban","Tablet_iOS","Browser","Monthly",4,"12:00 PM - 6:00 PM",3,2,4,"Card","N",0,0
"CXAUQ_1932",40,50,40,"M",33,"VIC","Rural","Phone_iOS","Browser","Daily",13,"6:00 AM - 12:00 PM",6,1,4,"eWallet","N",0,0
"CXAUQ_434",650,171,0,"F",60,"WA","Urban","Tablet_iOS","Browser","Weekly",30,"12:00 PM - 6:00 PM",3,3,4,"BNPL","N",0,0
"CXAUQ_962",1150,241,348,"M",44,"NSW","Urban","Tablet_iOS","Browser","Monthly",34,"12:00 AM - 6:00 AM",2,3,4,"Card","N",0,0
"CXAUQ_2102",40,50,117,"M",21,"NSW","Urban","Phone_iOS","Browser","Daily",30,"6:00 AM - 12:00 PM",1,2,3,"eWallet","N",0,0
"CXAUQ_1536",700,197,263,"F",42,"WA","Urban","Tablet_iOS","App","Weekly",0,"6:00 PM - 12:00 AM",6,1,4,"BNPL","Y",18,0
"CXAUQ_2787",550,137,470,"M",33,"SA","Urban","Phone_iOS","Browser","Monthly",26,"6:00 PM - 12:00 AM",1,2,4,"BNPL","N",0,0
"CXAUQ_1711",40,154,40,"F",20,"NSW","Urban","Phone_iOS","Browser","Monthly",51,"6:00 PM - 12:00 AM",1,2,3,"eWallet","N",0,0
