"C_ID","C_EquipmentSpend","C_ApparelSpend","C_FootwearSpend","C_Gender","C_Age","C_State","C_Area","C_DeviceType","C_ShoppingCart","C_EmailAd","C_ShoppingDuration","C_TimeOfShopping","C_Number_of_Orders","C_Reviews","C_OrderToDelivery","C_Payment","App_Discounts","App_Tenure","App_Referral"
"CXAUQ_539",600,192,492,"M",36,"NSW","Urban","Tablet_Android","Browser","Daily",14,"12:00 PM - 6:00 PM",1,1,4,"BNPL","N",0,0
"CXAUQ_1164",350,191,299,"F",28,"NT","Rural","Phone_iOS","App","Monthly",24,"12:00 AM - 6:00 AM",4,3,3,"BNPL","Y",24,3
"CXAUQ_2841",800,267,0,"M",39,"VIC","Urban","Phone_Android","App","Monthly",56,"6:00 PM - 12:00 AM",2,3,4,"BNPL","Y",30,8
"CXAUQ_841",40,112,56,"F",21,"TAS","Rural","Phone_iOS","App","Weekly",34,"12:00 AM - 6:00 AM",1,1,2,"BNPL","Y",17,3
"CXAUQ_766",40,220,110,"M",24,"NSW","Urban","Phone_iOS","App","Daily",3,"12:00 PM - 6:00 PM",4,1,1,"BNPL","Y",26,0
"CXAUQ_2675",40,152,226,"M",34,"NSW","Urban","Tablet_iOS","App","Daily",29,"6:00 PM - 12:00 AM",4,1,3,"eWallet","Y",20,0
"CXAUQ_298",40,150,0,"F",25,"NSW","Urban","Tablet_iOS","Browser","Daily",9,"12:00 PM - 6:00 PM",5,2,3,"eWallet","N",0,0
"CXAUQ_266",40,299,253,"M",27,"NSW","Rural","Tablet_iOS","App","Daily",38,"12:00 PM - 6:00 PM",1,1,4,"eWallet","Y",15,0
"CXAUQ_907",900,166,483,"F",47,"VIC","Urban","Tablet_Android","App","Weekly",7,"12:00 AM - 6:00 AM",6,5,4,"eWallet","Y",28,0
"CXAUQ_10",40,0,174,"F",39,"VIC","Urban","Phone_iOS","App","Daily",37,"12:00 PM - 6:00 PM",1,3,3,"eWallet","Y",4,0
"CXAUQ_293",40,80,0,"M",52,"NT","Urban","Tablet_iOS","Browser","Weekly",25,"12:00 PM - 6:00 PM",1,2,3,"eWallet","N",0,0
"CXAUQ_1522",40,50,77,"M",34,"NSW","Urban","Tablet_iOS","Browser","Daily",17,"6:00 PM - 12:00 AM",1,1,3,"eWallet","N",0,0
"CXAUQ_972",40,226,113,"F",28,"NSW","Urban","Phone_iOS","Browser","Daily",1,"12:00 AM - 6:00 AM",4,1,3,"eWallet","N",0,0
"CXAUQ_2050",750,153,280,"M",44,"QLD","Rural","Phone_iOS","App","Monthly",8,"6:00 AM - 12:00 PM",1,3,4,"BNPL","Y",20,0
"CXAUQ_1291",40,154,41,"M",44,"QLD","Rural","Phone_iOS","Browser","Monthly",26,"6:00 PM - 12:00 AM",3,3,4,"eWallet","N",0,0
"CXAUQ_1037",252,43,108,"M",70,"SA","Urban","Tablet_Android","Browser","Daily",35,"12:00 AM - 6:00 AM",3,2,3,"Card","N",0,0
"CXAUQ_2122",1200,50,235,"M",53,"VIC","Urban","Phone_Android","App","Weekly",35,"6:00 AM - 12:00 PM",11,5,4,"BNPL","Y",16,0
