"C_ID","C_EquipmentSpend","C_ApparelSpend","C_FootwearSpend","C_Gender","C_Age","C_State","C_Area","C_DeviceType","C_ShoppingCart","C_EmailAd","C_ShoppingDuration","C_TimeOfShopping","C_Number_of_Orders","C_Reviews","C_OrderToDelivery","C_Payment","App_Discounts","App_Tenure","App_Referral"
"CXAUQ_2000",1750,101,343,"M",54,"WA","Urban","Tablet_Android","Browser","Weekly",36,"6:00 AM - 12:00 PM",6,4,4,"BNPL","N",0,0
"CXAUQ_2530",1000,211,40,"M",49,"QLD","Urban","Phone_Android","Browser","Weekly",18,"6:00 PM - 12:00 AM",9,5,4,"BNPL","N",0,0
"CXAUQ_2172",1200,229,384,"F",51,"SA","Rural","Phone_Android","Browser","Monthly",18,"6:00 AM - 12:00 PM",11,5,4,"BNPL","N",0,0
"CXAUQ_669",40,180,180,"M",25,"TAS","Urban","Phone_iOS","App","Monthly",36,"12:00 PM - 6:00 PM",1,1,2,"BNPL","Y",12,0
"CXAUQ_1453",40,146,164,"M",24,"NSW","Urban","Phone_iOS","Browser","Daily",54,"6:00 PM - 12:00 AM",1,1,3,"eWallet","N",0,0
"CXAUQ_1035",40,238,40,"M",23,"VIC","Urban","Phone_iOS","Browser","Daily",48,"12:00 AM - 6:00 AM",4,3,3,"eWallet","N",0,0
"CXAUQ_2815",550,86,455,"M",30,"TAS","Urban","Phone_iOS","App","Weekly",46,"6:00 PM - 12:00 AM",6,1,4,"BNPL","Y",7,0
"CXAUQ_387",750,174,0,"F",52,"NSW","Rural","Phone_Android","App","Daily",18,"12:00 PM - 6:00 PM",8,5,4,"BNPL","Y",17,8
"CXAUQ_558",1350,214,0,"M",56,"VIC","Urban","Tablet_iOS","App","Weekly",23,"12:00 PM - 6:00 PM",7,5,4,"BNPL","Y",29,0
"CXAUQ_1274",250,67,40,"M",25,"QLD","Rural","Phone_iOS","App","Weekly",55,"6:00 PM - 12:00 AM",3,4,4,"eWallet","Y",28,0
"CXAUQ_1400",1100,156,333,"M",58,"NT","Urban","Tablet_Android","Browser","Monthly",35,"6:00 PM - 12:00 AM",3,5,4,"BNPL","N",0,0
"CXAUQ_2425",1400,274,372,"F",53,"ACT","Urban","Tablet_Android","App","Monthly",24,"6:00 AM - 12:00 PM",1,5,4,"BNPL","Y",15,0
"CXAUQ_220",1600,269,489,"F",52,"WA","Urban","Phone_Android","App","Monthly",14,"12:00 PM - 6:00 PM",8,5,4,"BNPL","Y",5,0
"CXAUQ_1378",500,143,297,"M",40,"NSW","Urban","Phone_iOS","App","Daily",42,"6:00 PM - 12:00 AM",5,2,4,"BNPL","Y",7,0
"CXAUQ_1870",40,89,395,"M",56,"VIC","Urban","Tablet_iOS","Browser","Daily",10,"6:00 AM - 12:00 PM",2,4,2,"BNPL","N",0,0
"CXAUQ_2247",750,50,232,"F",59,"QLD","Urban","Tablet_iOS","Browser","Weekly",36,"6:00 AM - 12:00 PM",3,3,4,"BNPL","N",0,0
"CXAUQ_2847",40,90,0,"F",34,"NSW","Rural","Phone_iOS","App","Daily",37,"6:00 PM - 12:00 AM",4,3,4,"eWallet","Y",17,8
"CXAUQ_242",300,71,280,"M",30,"NSW","Urban","Phone_iOS","Browser","Daily",10,"12:00 PM - 6:00 PM",1,3,1,"BNPL","N",0,0
"CXAUQ_1428",40,205,219,"M",28,"NSW","Urban","Tablet_iOS","Browser","Daily",16,"6:00 PM - 12:00 AM",1,2,2,"BNPL","N",0,0
"CXAUQ_531",650,295,462,"F",50,"VIC","Urban","Tablet_iOS","Browser","Weekly",6,"12:00 PM - 6:00 PM",10,5,4,"BNPL","N",0,0
"CXAUQ_2814",950,80,108,"M",48,"NSW","Urban","Tablet_Android","Browser","Daily",17,"6:00 PM - 12:00 AM",11,3,4,"BNPL","N",0,0
"CXAUQ_2005",500,107,147,"M",43,"ACT","Rural","Phone_iOS","Browser","Monthly",51,"6:00 AM - 12:00 PM",3,3,4,"eWallet","N",0,0
"CXAUQ_1814",40,210,303,"F",46,"VIC","Urban","Tablet_Android","Browser","Daily",43,"6:00 AM - 12:00 PM",9,4,1,"BNPL","N",0,0
"CXAUQ_1580",950,206,294,"F",50,"ACT","Urban","Tablet_Android","Browser","Monthly",51,"6:00 PM - 12:00 AM",13,4,4,"BNPL","N",0,0
"CXAUQ_1471",1200,89,46,"M",46,"ACT","Urban","Phone_Android","App","Monthly",59,"6:00 PM - 12:00 AM",9,4,4,"eWallet","Y",30,0
"CXAUQ_875",40,50,40,"F",39,"NSW","Rural","Phone_iOS","App","Weekly",50,"12:00 AM - 6:00 AM",1,2,4,"eWallet","Y",4,0
"CXAUQ_1402",800,131,422,"M",47,"NSW","Urban","Phone_Android","App","Weekly",43,"6:00 PM - 12:00 AM",8,5,4,"BNPL","Y",30,8
"CXAUQ_2545",900,50,110,"M",40,"ACT","Urban","Phone_iOS","App","Monthly",11,"6:00 PM - 12:00 AM",1,1,4,"BNPL","Y",10,0
"CXAUQ_1879",450,79,322,"F",39,"SA","Rural","Phone_iOS","Browser","Monthly",53,"6:00 AM - 12:00 PM",2,3,4,"BNPL","N",0,0
"CXAUQ_1197",40,62,442,"M",42,"NT","Rural","Phone_Android","Browser","Weekly",0,"12:00 AM - 6:00 AM",1,4,2,"BNPL","N",0,0
"CXAUQ_2160",1350,169,299,"F",46,"NSW","Urban","Tablet_Android","Browser","Daily",7,"6:00 AM - 12:00 PM",7,5,4,"BNPL","N",0,0
"CXAUQ_1558",40,87,461,"M",40,"NSW","Urban","Tablet_iOS","Browser","Daily",49,"6:00 PM - 12:00 AM",1,2,2,"BNPL","N",0,0
"CXAUQ_2653",40,50,45,"F",42,"TAS","Urban","Tablet_iOS","Browser","Monthly",31,"6:00 PM - 12:00 AM",3,3,3,"eWallet","N",0,0
"CXAUQ_624",40,84,42,"M",43,"TAS","Urban","Phone_Android","Browser","Weekly",49,"12:00 PM - 6:00 PM",1,3,3,"eWallet","N",0,0
"CXAUQ_2512",40,119,295,"M",36,"NSW","Urban","Phone_iOS","App","Daily",7,"6:00 PM - 12:00 AM",3,1,3,"eWallet","Y",16,0
"CXAUQ_1601",40,66,113,"F",31,"QLD","Rural","Phone_Android","App","Daily",17,"6:00 PM - 12:00 AM",1,3,4,"eWallet","Y",21,0
"CXAUQ_209",40,129,480,"F",22,"NSW","Urban","Phone_iOS","Browser","Daily",19,"12:00 PM - 6:00 PM",4,1,1,"BNPL","N",0,0
"CXAUQ_2410",1300,186,397,"F",51,"WA","Urban","Tablet_iOS","Browser","Monthly",24,"6:00 AM - 12:00 PM",1,5,4,"BNPL","N",0,0
"CXAUQ_14",40,265,297,"M",36,"VIC","Urban","Phone_iOS","Browser","Daily",0,"12:00 PM - 6:00 PM",6,1,2,"BNPL","N",0,0
"CXAUQ_2612",950,173,202,"F",56,"TAS","Rural","Phone_Android","Browser","Weekly",0,"6:00 PM - 12:00 AM",1,5,4,"BNPL","N",0,0
"CXAUQ_2542",40,243,84,"M",41,"NSW","Urban","Tablet_iOS","Browser","Daily",38,"6:00 PM - 12:00 AM",1,2,3,"eWallet","N",0,0
"CXAUQ_2212",40,178,239,"M",31,"NSW","Urban","Tablet_iOS","Browser","Daily",19,"6:00 AM - 12:00 PM",3,1,1,"BNPL","N",0,0
"CXAUQ_1115",40,156,258,"M",31,"WA","Rural","Phone_Android","Browser","Weekly",5,"12:00 AM - 6:00 AM",2,1,3,"BNPL","N",0,0
"CXAUQ_1369",40,162,204,"F",24,"NSW","Rural","Phone_iOS","App","Daily",27,"6:00 PM - 12:00 AM",4,2,3,"BNPL","Y",25,0
"CXAUQ_884",200,108,154,"F",28,"TAS","Rural","Phone_iOS","App","Daily",4,"12:00 AM - 6:00 AM",5,3,4,"Card","Y",15,0
"CXAUQ_1790",40,50,339,"F",47,"ACT","Urban","Phone_Android","Browser","Weekly",19,"6:00 PM - 12:00 AM",1,5,1,"BNPL","N",0,0
"CXAUQ_1623",1050,244,336,"M",55,"NSW","Rural","Phone_Android","Browser","Daily",46,"6:00 PM - 12:00 AM",5,5,4,"BNPL","N",0,0
"CXAUQ_640",1050,218,0,"M",60,"NSW","Urban","Phone_iOS","Browser","Daily",28,"12:00 PM - 6:00 PM",14,1,4,"Card","N",0,0
"CXAUQ_296",1050,255,0,"F",55,"NSW","Urban","Tablet_Android","App","Daily",46,"12:00 PM - 6:00 PM",13,5,4,"BNPL","Y",6,0
"CXAUQ_2455",40,50,42,"M",37,"VIC","Urban","Phone_iOS","App","Daily",24,"6:00 PM - 12:00 AM",1,2,3,"eWallet","Y",5,0
"CXAUQ_585",1300,83,0,"M",55,"VIC","Urban","Phone_Android","App","Weekly",0,"12:00 PM - 6:00 PM",6,4,4,"BNPL","Y",22,0
"CXAUQ_927",40,60,40,"F",56,"VIC","Urban","Tablet_iOS","Browser","Weekly",14,"12:00 AM - 6:00 AM",1,2,3,"Card","N",0,0
"CXAUQ_2324",40,298,263,"M",24,"NSW","Urban","Phone_Android","Browser","Daily",1,"6:00 AM - 12:00 PM",1,2,1,"BNPL","N",0,0
"CXAUQ_1048",1750,160,268,"F",58,"NSW","Urban","Phone_Android","App","Monthly",29,"12:00 AM - 6:00 AM",12,5,4,"BNPL","Y",18,0
"CXAUQ_2080",40,160,271,"F",24,"SA","Rural","Tablet_iOS","Browser","Daily",20,"6:00 AM - 12:00 PM",4,3,3,"BNPL","N",0,0
"CXAUQ_825",40,65,408,"M",26,"VIC","Urban","Phone_iOS","App","Daily",3,"12:00 AM - 6:00 AM",4,2,1,"BNPL","Y",25,0
"CXAUQ_1908",40,53,47,"F",58,"NT","Urban","Tablet_iOS","App","Monthly",2,"6:00 AM - 12:00 PM",2,4,3,"eWallet","Y",4,7
"CXAUQ_1244",40,50,368,"F",21,"NSW","Rural","Phone_iOS","App","Daily",17,"12:00 AM - 6:00 AM",4,3,2,"BNPL","Y",6,0
"CXAUQ_1039",40,123,277,"F",23,"ACT","Urban","Phone_iOS","App","Weekly",23,"12:00 AM - 6:00 AM",6,3,2,"BNPL","Y",24,0
"CXAUQ_556",40,50,40,"M",20,"NSW","Rural","Tablet_Android","App","Daily",2,"12:00 PM - 6:00 PM",1,3,4,"eWallet","Y",27,0
"CXAUQ_606",800,50,474,"F",41,"SA","Urban","Tablet_Android","App","Weekly",52,"12:00 PM - 6:00 PM",3,5,4,"BNPL","Y",9,0
"CXAUQ_1384",40,180,408,"M",31,"ACT","Urban","Tablet_iOS","Browser","Weekly",48,"6:00 PM - 12:00 AM",3,3,2,"BNPL","N",0,0
"CXAUQ_1876",350,85,40,"M",26,"ACT","Urban","Phone_iOS","App","Weekly",28,"6:00 AM - 12:00 PM",3,2,3,"eWallet","Y",7,8
"CXAUQ_2680",600,135,341,"M",45,"NSW","Rural","Tablet_iOS","Browser","Daily",16,"6:00 PM - 12:00 AM",11,4,4,"BNPL","N",0,0
"CXAUQ_2552",950,103,421,"M",54,"TAS","Urban","Phone_Android","Browser","Monthly",11,"6:00 PM - 12:00 AM",7,5,4,"BNPL","N",0,0
"CXAUQ_1341",600,185,40,"F",58,"SA","Rural","Tablet_iOS","Browser","Weekly",40,"6:00 PM - 12:00 AM",2,4,4,"eWallet","N",0,0
"CXAUQ_1008",46,155,243,"F",68,"NSW","Rural","Tablet_Android","Browser","Daily",39,"12:00 PM - 6:00 PM",4,5,2,"BNPL","N",0,0
"CXAUQ_2718",650,174,208,"F",37,"NSW","Urban","Phone_iOS","Browser","Daily",2,"6:00 PM - 12:00 AM",2,5,4,"BNPL","N",0,0
"CXAUQ_2028",40,78,434,"M",45,"NT","Rural","Phone_iOS","App","Monthly",45,"6:00 AM - 12:00 PM",4,1,2,"BNPL","Y",11,0
"CXAUQ_97",350,50,192,"F",34,"VIC","Urban","Phone_iOS","Browser","Daily",39,"12:00 PM - 6:00 PM",2,3,3,"eWallet","N",0,0
"CXAUQ_547",600,214,341,"M",40,"NSW","Urban","Phone_Android","Browser","Daily",59,"12:00 PM - 6:00 PM",3,4,4,"BNPL","N",0,0
"CXAUQ_961",750,170,443,"M",52,"NSW","Urban","Phone_Android","Browser","Daily",36,"12:00 AM - 6:00 AM",5,5,4,"eWallet","N",0,0
"CXAUQ_2858",800,95,0,"F",48,"VIC","Urban","Tablet_Android","Browser","Monthly",33,"6:00 PM - 12:00 AM",4,3,4,"BNPL","N",0,0
"CXAUQ_2845",40,50,0,"M",53,"VIC","Urban","Phone_Android","App","Daily",14,"6:00 PM - 12:00 AM",1,4,3,"eWallet","Y",5,0
"CXAUQ_542",1200,57,0,"M",44,"VIC","Rural","Tablet_Android","Browser","Monthly",58,"12:00 PM - 6:00 PM",10,5,4,"BNPL","N",0,0
"CXAUQ_670",1150,222,0,"M",56,"NSW","Urban","Tablet_Android","Browser","Daily",35,"12:00 PM - 6:00 PM",13,3,4,"Card","N",0,0
"CXAUQ_2515",1300,200,355,"M",54,"NT","Urban","Tablet_Android","Browser","Weekly",1,"6:00 PM - 12:00 AM",5,4,4,"BNPL","N",0,0
"CXAUQ_2112",40,122,449,"M",23,"SA","Urban","Tablet_iOS","Browser","Weekly",44,"6:00 AM - 12:00 PM",3,2,2,"BNPL","N",0,0
"CXAUQ_2137",800,211,331,"F",58,"VIC","Urban","Phone_Android","Browser","Monthly",48,"6:00 AM - 12:00 PM",10,4,4,"BNPL","N",0,0
"CXAUQ_1923",850,50,368,"F",51,"WA","Urban","Tablet_iOS","Browser","Monthly",52,"6:00 AM - 12:00 PM",3,4,4,"BNPL","N",0,0
"CXAUQ_1028",265,94,376,"M",68,"QLD","Rural","Tablet_iOS","Browser","Daily",57,"12:00 PM - 6:00 PM",4,1,4,"Card","N",0,0
"CXAUQ_494",40,260,0,"F",22,"NSW","Rural","Phone_iOS","App","Daily",54,"12:00 PM - 6:00 PM",5,2,4,"eWallet","Y",8,0
"CXAUQ_365",40,256,0,"F",26,"NSW","Urban","Tablet_iOS","App","Daily",30,"12:00 PM - 6:00 PM",1,1,3,"eWallet","Y",15,0
"CXAUQ_385",1050,97,0,"F",46,"NSW","Urban","Phone_Android","Browser","Daily",56,"12:00 PM - 6:00 PM",3,5,4,"BNPL","N",0,0
"CXAUQ_1497",40,276,439,"M",22,"WA","Urban","Tablet_iOS","Browser","Weekly",6,"6:00 PM - 12:00 AM",4,1,1,"BNPL","N",0,0
"CXAUQ_1291",40,154,41,"M",44,"QLD","Rural","Phone_iOS","Browser","Monthly",26,"6:00 PM - 12:00 AM",3,3,4,"eWallet","N",0,0
"CXAUQ_2356",1000,50,261,"F",52,"VIC","Urban","Tablet_Android","Browser","Weekly",18,"6:00 AM - 12:00 PM",6,3,4,"BNPL","N",0,0
"CXAUQ_2025",40,268,273,"F",28,"VIC","Urban","Phone_iOS","Browser","Weekly",12,"6:00 AM - 12:00 PM",3,1,2,"BNPL","N",0,0
"CXAUQ_1395",700,151,327,"M",52,"NSW","Urban","Tablet_Android","App","Daily",6,"6:00 PM - 12:00 AM",7,5,4,"BNPL","Y",9,6
