"C_ID","C_EquipmentSpend","C_ApparelSpend","C_FootwearSpend","C_Gender","C_Age","C_State","C_Area","C_DeviceType","C_ShoppingCart","C_EmailAd","C_ShoppingDuration","C_TimeOfShopping","C_Number_of_Orders","C_Reviews","C_OrderToDelivery","C_Payment","App_Discounts","App_Tenure","App_Referral"
"CXAUQ_1367",1200,190,157,"M",48,"NSW","Rural","Phone_Android","Browser","Daily",10,"6:00 PM - 12:00 AM",3,5,4,"eWallet","N",0,0
"CXAUQ_67",600,199,499,"F",34,"TAS","Rural","Phone_iOS","Browser","Monthly",34,"12:00 PM - 6:00 PM",3,3,4,"eWallet","N",0,0
"CXAUQ_1223",40,164,352,"M",21,"NSW","Urban","Phone_iOS","App","Daily",41,"12:00 AM - 6:00 AM",3,2,1,"BNPL","Y",30,8
"CXAUQ_622",40,280,140,"F",21,"SA","Rural","Phone_Android","Browser","Weekly",18,"12:00 PM - 6:00 PM",5,2,4,"eWallet","N",0,0
"CXAUQ_1045",40,285,316,"F",29,"WA","Urban","Phone_iOS","App","Daily",32,"12:00 AM - 6:00 AM",1,1,2,"BNPL","Y",23,0
"CXAUQ_2665",40,164,242,"M",22,"ACT","Urban","Tablet_iOS","Browser","Monthly",0,"6:00 PM - 12:00 AM",2,3,3,"eWallet","N",0,0
"CXAUQ_2712",1100,188,256,"F",44,"NSW","Rural","Tablet_Android","Browser","Daily",4,"6:00 PM - 12:00 AM",4,4,4,"BNPL","N",0,0
"CXAUQ_1304",350,50,422,"F",25,"ACT","Rural","Phone_iOS","Browser","Monthly",16,"6:00 PM - 12:00 AM",1,2,2,"BNPL","N",0,0
"CXAUQ_2612",950,173,202,"F",56,"TAS","Rural","Phone_Android","Browser","Weekly",0,"6:00 PM - 12:00 AM",1,5,4,"BNPL","N",0,0
"CXAUQ_2805",40,50,358,"F",25,"VIC","Rural","Phone_iOS","App","Monthly",4,"6:00 PM - 12:00 AM",3,0,4,"eWallet","Y",28,4
"CXAUQ_1061",40,204,370,"M",21,"NSW","Urban","Tablet_iOS","App","Daily",31,"12:00 AM - 6:00 AM",3,1,2,"BNPL","Y",13,8
"CXAUQ_1924",40,50,395,"F",34,"VIC","Rural","Phone_iOS","Browser","Daily",23,"6:00 AM - 12:00 PM",3,2,3,"BNPL","N",0,0
"CXAUQ_1212",500,50,123,"M",26,"WA","Urban","Phone_Android","Browser","Monthly",1,"12:00 AM - 6:00 AM",4,2,4,"eWallet","N",0,0
"CXAUQ_1672",850,131,345,"F",52,"QLD","Urban","Tablet_Android","Browser","Monthly",37,"6:00 PM - 12:00 AM",8,4,4,"BNPL","N",0,0
"CXAUQ_1939",40,98,335,"M",38,"VIC","Urban","Phone_iOS","Browser","Daily",9,"6:00 AM - 12:00 PM",1,1,1,"BNPL","N",0,0
"CXAUQ_610",700,165,433,"M",30,"NSW","Urban","Phone_Android","Browser","Daily",19,"12:00 PM - 6:00 PM",1,1,4,"BNPL","N",0,0
"CXAUQ_772",40,54,40,"F",44,"WA","Urban","Phone_Android","App","Weekly",25,"12:00 PM - 6:00 PM",1,5,3,"eWallet","Y",25,1
