"C_ID","C_EquipmentSpend","C_ApparelSpend","C_FootwearSpend","C_Gender","C_Age","C_State","C_Area","C_DeviceType","C_ShoppingCart","C_EmailAd","C_ShoppingDuration","C_TimeOfShopping","C_Number_of_Orders","C_Reviews","C_OrderToDelivery","C_Payment","App_Discounts","App_Tenure","App_Referral"
"CXAUQ_2183",1100,278,422,"M",49,"NSW","Urban","Tablet_Android","App","Daily",3,"6:00 AM - 12:00 PM",1,5,4,"BNPL","Y",7,0
"CXAUQ_1354",1050,250,189,"F",47,"NSW","Urban","Tablet_Android","App","Daily",47,"6:00 PM - 12:00 AM",10,5,4,"eWallet","Y",27,8
"CXAUQ_161",1750,142,351,"M",50,"ACT","Rural","Phone_Android","Browser","Weekly",54,"12:00 PM - 6:00 PM",3,5,4,"BNPL","N",0,0
"CXAUQ_436",650,253,0,"M",60,"TAS","Urban","Tablet_iOS","Browser","Weekly",22,"12:00 PM - 6:00 PM",2,3,4,"BNPL","N",0,0
"CXAUQ_1391",900,212,302,"M",52,"NSW","Urban","Tablet_Android","Browser","Daily",23,"6:00 PM - 12:00 AM",4,5,4,"BNPL","N",0,0
"CXAUQ_333",700,195,0,"F",59,"TAS","Urban","Phone_Android","App","Weekly",20,"12:00 PM - 6:00 PM",3,5,4,"BNPL","Y",27,0
"CXAUQ_833",40,202,202,"F",28,"VIC","Urban","Phone_iOS","Browser","Daily",56,"12:00 AM - 6:00 AM",1,2,2,"BNPL","N",0,0
"CXAUQ_2749",1600,232,192,"M",51,"NSW","Rural","Tablet_Android","App","Daily",33,"6:00 PM - 12:00 AM",13,5,4,"BNPL","Y",23,0
"CXAUQ_583",550,73,312,"M",36,"TAS","Urban","Phone_iOS","App","Weekly",37,"12:00 PM - 6:00 PM",2,3,4,"BNPL","Y",2,0
"CXAUQ_2457",950,119,111,"M",54,"VIC","Urban","Tablet_Android","App","Daily",19,"6:00 PM - 12:00 AM",10,4,4,"BNPL","Y",22,8
"CXAUQ_1950",40,214,485,"M",59,"VIC","Urban","Tablet_iOS","App","Daily",8,"6:00 AM - 12:00 PM",5,4,2,"BNPL","Y",24,0
"CXAUQ_351",40,167,0,"F",42,"NSW","Rural","Phone_iOS","Browser","Monthly",24,"12:00 PM - 6:00 PM",1,4,4,"eWallet","N",0,0
"CXAUQ_392",1050,291,0,"F",49,"NSW","Urban","Tablet_Android","App","Daily",20,"12:00 PM - 6:00 PM",10,4,4,"BNPL","Y",24,0
"CXAUQ_133",1400,242,284,"F",60,"QLD","Urban","Tablet_Android","Browser","Weekly",47,"12:00 PM - 6:00 PM",3,4,4,"BNPL","N",0,0
"CXAUQ_767",40,255,128,"M",23,"NSW","Rural","Phone_Android","Browser","Daily",26,"12:00 PM - 6:00 PM",5,3,4,"eWallet","N",0,0
"CXAUQ_142",40,66,182,"M",37,"NSW","Urban","Phone_iOS","App","Daily",23,"12:00 PM - 6:00 PM",4,1,3,"eWallet","Y",15,0
"CXAUQ_2834",40,245,125,"M",23,"NSW","Urban","Phone_iOS","Browser","Daily",32,"6:00 PM - 12:00 AM",6,1,3,"eWallet","N",0,0
"CXAUQ_303",40,210,0,"M",30,"TAS","Rural","Phone_iOS","Browser","Monthly",17,"12:00 PM - 6:00 PM",4,1,4,"eWallet","N",0,0
"CXAUQ_143",40,203,145,"M",26,"VIC","Rural","Phone_iOS","App","Weekly",51,"12:00 PM - 6:00 PM",6,3,4,"eWallet","Y",12,0
"CXAUQ_1897",40,146,417,"F",21,"VIC","Urban","Phone_iOS","Browser","Daily",40,"6:00 AM - 12:00 PM",4,0,2,"BNPL","N",0,0
"CXAUQ_1124",40,225,189,"F",22,"SA","Urban","Phone_Android","Browser","Weekly",49,"12:00 AM - 6:00 AM",2,1,3,"eWallet","N",0,0
"CXAUQ_1751",1300,50,40,"M",52,"SA","Rural","Tablet_Android","Browser","Monthly",24,"6:00 PM - 12:00 AM",11,3,4,"eWallet","N",0,0
"CXAUQ_931",40,251,126,"F",29,"TAS","Urban","Phone_iOS","Browser","Daily",18,"12:00 AM - 6:00 AM",1,2,3,"eWallet","N",0,0
"CXAUQ_1224",850,92,401,"M",48,"NT","Rural","Tablet_Android","Browser","Weekly",19,"12:00 AM - 6:00 AM",7,4,4,"BNPL","N",0,0
"CXAUQ_738",1000,76,0,"F",44,"NSW","Rural","Tablet_Android","App","Daily",60,"12:00 PM - 6:00 PM",7,3,4,"Card","Y",17,0
"CXAUQ_244",550,163,345,"M",29,"VIC","Urban","Phone_iOS","Browser","Monthly",32,"12:00 PM - 6:00 PM",2,2,4,"BNPL","N",0,0
"CXAUQ_18",40,206,362,"M",22,"VIC","Urban","Phone_iOS","App","Daily",53,"12:00 PM - 6:00 PM",1,2,1,"BNPL","Y",21,0
"CXAUQ_1445",40,236,146,"M",35,"NSW","Rural","Tablet_iOS","Browser","Daily",21,"6:00 PM - 12:00 AM",2,3,4,"eWallet","N",0,0
"CXAUQ_1373",650,202,139,"F",42,"VIC","Urban","Tablet_iOS","Browser","Weekly",49,"6:00 PM - 12:00 AM",6,1,4,"eWallet","N",0,0
